"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Tulsa","Tulsa","OK","Tulsa, OK","""Tulsa, OK""",39,5.28846153846154,,,,115200,0.523560209424084,5.20547945205479,0.0383680555555554,,0.0891486483044078,0.0350158783896636,66
"City","Cleveland","Cleveland","OH","Cleveland, OH","""Cleveland-Elyria, OH""",40,2.6978550295858,71.88,13.8793,6.5517,60700,0.830564784053156,11.1721611721612,0.0394069192751236,,0.311175993801947,0.0706509473816432,78
"City","Honolulu","Honolulu","HI","Urban Honolulu, HI","""Urban Honolulu, HI""",41,9.34541420118343,92.48,0.1488,,679400,0.354505169867061,3.58286324134777,0.0390300264939654,,0.0445349597198225,0.0145202323936215,87
"City","Minneapolis","Minneapolis","MN","Minneapolis-St Paul, MN","""Minneapolis-St. Paul-Bloomington, MN-WI""",42,4.52940088757396,86.98,6.8158,2.1118,240500,0.585529067335843,5.34384581690758,0.0231725571725572,,0.0970857181588877,0.0133865753557121,63
"City","Baton Rouge","Baton Rouge","LA","Baton Rouge, LA","""Baton Rouge, LA""",43,5.68602071005917,90.68,,,166300,1.03280680437424,9.04918032786885,0.0249007817197835,,0.0915415831078846,0.0480839858388184,71
"City","New Orleans","New Orleans","LA","New Orleans, LA","""New Orleans-Metairie, LA""",44,1.29622781065089,90.06,,,171900,-0.520833333333333,-1.3203214695752,,,0.106489511819658,0.0529835904829087,91
"City","Arlington","Arlington","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",45,9.3907174556213,98.53,1.6569,0.4017,186100,0.648999459167117,8.70327102803738,0.0447662547017733,,,,48
"City","Raleigh","Raleigh","NC","Raleigh, NC","""Raleigh, NC""",46,8.23224852071006,94.12,1.9087,0.2546,228100,0.617556241729157,5.7487250811312,0.0362911003945638,,0.0776142454950553,0.0173965923692633,54
"City","Wichita","Wichita","KS","Wichita, KS","""Wichita, KS""",47,5.58524408284024,96.15,,,124600,0.160771704180064,5.77249575551783,,,0.0631696791698447,0.0188481453273803,65
"City","Tampa","Tampa","FL","Tampa, FL","""Tampa-St. Petersburg-Clearwater, FL""",48,7.56379437869822,86.59,,,193000,0.678142931664058,11.7544875506659,0.0381450777202073,,0.114122026244868,0.0641632040732201,83
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",49,7.32988165680473,93.91,2.8915,0.8866,578600,0.312066574202497,4.74293989862419,0.0193553404770135,,0.0503829318455338,0.0260619746042599,62
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",50,6.79733727810651,93.94,3.4732,1.14,524900,0.286587695834925,8.94562058945621,0.0293217755763002,,0.0673460717680296,0.0356096189021687,58
"City","Aurora","Aurora","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",51,9.37592455621302,98.8,1.9755,0.1166,295700,0.680966973101805,7.95910916392844,0.0356915793033481,,0.0550861010985327,0.00747905364622037,48
"City","Saint Louis","Saint Louis","MO","St. Louis, MO","""St. Louis, MO-IL""",52,4.40181213017751,80.52,7.1151,5.6176,126200,0.397772474144789,10.9938434476693,0.0536450079239303,,0.159043045903023,0.0383094358248027,73
"City","Cincinnati","Cincinnati","OH","Cincinnati, OH","""Cincinnati, OH-KY-IN""",53,4.92233727810651,100,,2.798,128900,1.09803921568627,7.95644891122278,0.0339100077579519,,0.131047764399023,0.0434041228359064,63.5
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA","""Pittsburgh, PA""",54,9.38609467455621,93.51,0.5153,0.6094,129400,1.01483216237315,9.19831223628692,0.0481221020092735,,0.0885033756495306,0.025712665089552,77
"City","Riverside","Riverside","CA","Riverside, CA","""Riverside-San Bernardino-Ontario, CA""",55,8.29419378698225,90.97,3.2183,1.3886,362400,0.471305794288883,7.95352993744415,0.0515645695364237,,0.0887577185226092,0.0344881991617398,62
